"Name";"List of interests-value";"List of studies-value";"Professional Experience-value"
"clara 23";"{""interests"":[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]}";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients. Built Excel models and PowerPoint decks for senior consultants. Participated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing, pricing). Led a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"clara 22";"{""interests"":[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]}";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""Specialization in Mathematics & Economics"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""JUN 2024 - DEC 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients. Built Excel models and PowerPoint decks for senior consultants. Participated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""SEPT 2023 - MAY 2024"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing, pricing). Led a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"clara 21";"[""Debating (national competitions)"",""long-distance running"",""economic podcasts""]";"[{""dates"":""2022-2025"",""field"":""not found"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrial clients. Built Excel models and PowerPoint decks for senior consultants. Participated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing, pricing). Led a team of 4 students on a retail optimization project."",""country or city"":""not found""}]"
"camille 40";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity."",""Culture"",""Russian literature and South American cinema.""]}";"[{""dates"":""2023 -2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers. · Taught French and provided tutoring (primary and middle school levels). · Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 -2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases. · Co-organized cultural and civic events (Budget: €50k). · Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 39";"{""interests"":[""Active member of MUN (Model United Nations)"",""Team Leader (3 years). Values of solidarity"",""Russian literature and South American cinema""]}";"[{""dates"":""2023-2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""06/2025-08/2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024-2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 38";"[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity.""]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers. · Taught French and provided tutoring (primary and middle school levels). · Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases. · Co-organized cultural and civic events (Budget: €50k). · Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 37";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity."",""Culture"",""Russian literature and South American cinema.""]}";"[{""dates"":""2023-2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and\n\nprovided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024-2025"",""company"":""City Hall of Bordeaux, Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""not found""}]"
"camille 36";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity."",""Culture"",""Russian literature and South American cinema.""]}";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""JUN 2025 - AUG 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 35";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)"",""Scouting"",""Team Leader (3 years). Values of solidarity"",""Culture"",""Russian literature and South American cinema""]}";"[{""dates"":""2023-2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 34";"[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity."",""Culture"",""Russian literature and South American cinema.""]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 -2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 33";"[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity."",""Culture"",""Russian literature and South American cinema.""]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""international Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 32";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity.""]}";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""JUN 2025 - AUG 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 31";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)"",""Scouting"",""Team Leader (3 years). Values of solidarity"",""Culture"",""Russian literature and South American cinema""]}";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 -2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 30";"[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity."",""Culture"",""Russian literature and South American cinema.""]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux, Bordeaux"",""job title"":""Public Affairs Intern"",""description"":"". Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""not found""}]"
"camille 29";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity.""]}";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 28";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity."",""Culture"",""Russian literature and South American cinema.""]}";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 -2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 27";"[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity."",""Culture"",""Russian literature and South American cinema.""]";"[{""dates"":""2023 to 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 to Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 to 2025"",""company"":""City Hall of Bordeaux, Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""not found""}]"
"camille 26";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting Team Leader (3 years). Values of solidarity."",""Culture Russian literature and South American cinema.""]}";"[{""dates"":""2023 -2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024-2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 25";"{""interests"":[""Active member of MUN (Model United Nations)"",""Team Leader (3 years). Values of solidarity"",""Russian literature and South American cinema""]}";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 24";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity."",""Culture"",""Russian literature and South American cinema.""]}";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 23";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity."",""Culture"",""Russian literature and South American cinema.""]}";"[{""dates"":""2023 -2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 -2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 22";"{""interests"":[""Geopolitics"",""Active member of MUN (Model United Nations)."",""Scouting"",""Team Leader (3 years). Values of solidarity."",""Culture"",""Russian literature and South American cinema.""]}";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""JUN 2025 - AUG 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 - 2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"camille 21";"[""Geopolitics\n\nActive member of MUN (Model United Nations)."",""· Scouting\n\nTeam Leader (3 years). Values of solidarity."",""Culture\n\nRussian literature and South American cinema.""]";"[{""dates"":""2023-2026"",""field"":""not found"",""university"":""University of Bordeaux"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Political Science""},{""dates"":""not found"",""field"":""International Exchange: Semester"",""university"":""McGill University"",""country or city"":""Montreal, Canada"",""level_of_degree"":""not found""}]";"[{""dates"":""Jun 2025 - Aug 2025"",""company"":""NGO \""Education For All\"""",""job title"":""International Humanitarian Mission"",""description"":""· Coordinated a multicultural team of 5 international volunteers.\n\n· Taught French and provided tutoring (primary and middle school levels).\n\n· Managed camp logistics and relations with local stakeholders."",""country or city"":""not found""},{""dates"":""2024 -2025"",""company"":""City Hall of Bordeaux"",""job title"":""Public Affairs Intern"",""description"":""· Drafted synthesis notes for elected officials and press releases.\n\n· Co-organized cultural and civic events (Budget: €50k).\n\n· Conducted legislative monitoring on environmental topics."",""country or city"":""Bordeaux""}]"
"amelie 40";"[""Environmental Engagement"",""Active participation in climate-related student initiatives."",""Yoga & Mindfulness"",""Regular practice focused on balance and resilience.""]";"[{""dates"":""2022 -2025"",""field"":""not found"",""university"":""Paris School of Economics"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Management & Sustainability""},{""dates"":""2022"",""field"":""Economics & Sciences"",""university"":""Lycee Louis-le-Grand"",""country or city"":""Paris"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""EY Climate Change & Sustainability Services"",""job title"":""Sustainability Consulting Intern"",""description"":""Contributed to ESG diagnostics and carbon footprint analyses for corporate clients. Assisted in the preparation of sustainability reports aligned with CSRD standards. Conducted benchmarking on sustainable business practices across industries."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""Environmental NGO"",""job title"":""Project Coordinator (Part-time)"",""description"":""Coordinated sustainability awareness projects with universities. Managed project timelines, budgets, stakeholder communication. Prepared impact assessment reports."",""country or city"":""Paris""}]"
"amelie 39";"{""interests"":[""Active participation in climate-related student initiatives."",""Regular practice focused on balance and resilience.""]}";"[{""dates"":""2022-2025"",""field"":""not found"",""university"":""Paris School of Economics, Paris"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Management & Sustainability""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycee Louis-le-Grand, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""06/2024-12/2024"",""company"":""EY Climate Change & Sustainability Services"",""job title"":""Sustainability Consulting Intern"",""description"":""Contributed to ESG diagnostics and carbon footprint analyses for corporate clients. Assisted in the preparation of sustainability reports aligned with CSRD standards. Conducted benchmarking on sustainable business practices across industries."",""country or city"":""Paris""},{""dates"":""09/2023-05/2024"",""company"":""Environmental NGO"",""job title"":""Project Coordinator (Part-time)"",""description"":""Coordinated sustainability awareness projects with universities. Managed project timelines, budgets, and stakeholder communication. Prepared impact assessment reports."",""country or city"":""Paris""}]"
"amelie 38";"{""interests"":[""Environmental Engagement"",""Active participation in climate-related student initiatives."",""Yoga & Mindfulness"",""Regular practice focused on balance and resilience.""]}";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""Paris School of Economics"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Management & Sustainability""},{""dates"":""2022"",""field"":""Economics & Sciences"",""university"":""Lycee Louis-le-Grand"",""country or city"":""Paris"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""EY Climate Change & Sustainability Services"",""job title"":""Sustainability Consulting Intern"",""description"":""Contributed to ESG diagnostics and carbon footprint analyses for corporate clients. Assisted in the preparation of sustainability reports aligned with CSRD standards. Conducted benchmarking on sustainable business practices across industries."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""Environmental NGO"",""job title"":""Project Coordinator (Part-time)"",""description"":""Coordinated sustainability awareness projects with universities. Managed project timelines, budgets, and stakeholder communication. Prepared impact assessment reports."",""country or city"":""Paris""}]"
"amelie 37";"{""interests"":[""Environmental Engagement\n\nActive participation in\nclimate-related student\ninitiatives."",""Yoga & Mindfulness\n\nRegular practice focused on\nbalance and resilience.""]}";"[{""dates"":""2022 -2025"",""field"":""not found"",""university"":""Paris School of Economics, Paris"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Management & Sustainability""},{""dates"":""2022"",""field"":""Economics & Sciences"",""university"":""Lycee Louis-le-Grand, Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""EY Climate Change & Sustainability Services, Paris"",""job title"":""Sustainability Consulting Intern"",""description"":""Contributed to ESG diagnostics and carbon footprint analyses for corporate clients. Assisted in the preparation of sustainability reports aligned with CSRD standards. Conducted benchmarking on sustainable business practices across industries."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""Environmental NGO, Paris"",""job title"":""Project Coordinator (Part-time)"",""description"":""Coordinated sustainability awareness projects with universities. Managed project timelines, budgets, and stakeholder communication. Prepared impact assessment reports."",""country or city"":""Paris""}]"
